Charge,is_violent,is_drug,is_firearm,is_MinorInvolved,is_roadSafetyHazard,is_sexoffense,is_fraud,is_petty
Abuse Without Great Harm,4,0,0,0,0,0,0,0
Agg Abuse Elderlly/Disabled Adult,4,0,0,0,0,0,0,0
Agg Assault W/int Com Fel Dome,4,0,0,0,0,0,0,0
Agg Battery Cause Bodily,4,0,0,0,0,0,0,0
Agg Battery Grt/Bod/Harm,4,0,0,0,0,0,0,0
Agg Fleeing And Eluding,0,0,0,0,0,0,0,0
Agg Fleeing and Eluding,0,0,0,0,0,0,0,0
Agg Fleeing/Eluding High Speed,0,0,0,0,1,0,0,0
Aggrav Battery w/Deadly Weapon,4,0,1,0,0,0,0,0
Aggrav Child Abuse-Agg Battery,4,0,0,1,0,0,0,0
Aggrav Child Abuse-Causes Harm,4,0,0,1,0,0,0,0
Aggrav Stalking After Injunctn,4,0,0,0,0,0,0,1
Aggravated Animal Cruelty,0,0,0,0,0,0,0,1
Aggravated Assault,4,0,0,0,0,0,0,0
Aggravated Assault W/Dead Weap,4,0,1,0,0,0,0,0
Aggravated Assault W/dead Weap,4,0,1,0,0,0,0,0
Aggravated Assault W/o Firearm,4,0,0,0,0,0,0,0
Aggravated Assault w/Firearm,4,0,1,0,0,0,0,0
Aggravated Battery,4,0,0,0,0,0,0,0
Aggravated Battery (Firearm),4,0,1,0,0,0,0,0
Aggravated Battery (Firearm/Actual Possession),4,0,1,0,0,0,0,0
Aggravated Battery / Pregnant,4,0,0,1,0,0,0,0
Aggravated Battery On 65/Older,4,0,0,0,0,0,0,0
Aggravated Manslaughter Child,7,0,0,1,0,0,0,0
Aggress/Panhandle/Beg/Solict,0,0,0,0,0,0,0,1
Aide/Abet Prostitution Lewdness,0,0,0,0,0,1,0,0
Aiding Escape,0,0,0,0,0,0,0,1
Alcohol Bev Under Age Of 21,0,1,0,0,0,0,0,1
Alcoholic Beverage Violation-FL,0,1,0,0,0,0,0,1
Armed Kidnapping,5,0,1,0,0,0,0,0
Armed Trafficking in Cannabis,0,0,1,0,0,0,0,0
Arson II (Vehicle),0,0,0,0,0,0,0,0
Arson in the First Degree,0,0,0,0,0,0,0,0
Assault,4,0,0,0,0,0,0,0
Assault Law Enforcement Officer,4,0,0,0,0,0,0,0
Att Burgl Conv Occp,3,0,0,0,0,0,0,1
Att Burgl Occp Dwelling,3,0,0,0,0,0,0,1
Att Burgl Struc/Conv Dwel/Occp,3,0,0,0,0,0,0,1
Att Burgl Unoccupied Dwel,3,0,0,0,0,0,0,1
Att Robbery Sudd Snatch No Weap,5,0,0,0,0,0,0,1
Att Tamper w/Physical Evidence,0,0,0,0,0,0,1,0
Attempt Armed Burglary Dwell,3,0,1,0,0,0,0,1
Attempt Burglary (Struct),3,0,0,0,0,0,0,1
Attempt Murder in the First Degree,7,0,0,0,0,0,0,0
Attempt Sexual Batt / Vict 12+,6,0,0,0,0,1,0,0
Attempt/Solicitation/Conspiracy,0,0,0,0,0,0,0,1
Attempted Aggravated Battery,4,0,0,0,0,0,0,0
Attempted Burg/Convey/Unocc,4,0,0,0,0,0,0,1
Attempted Burg/struct/unocc,3,0,0,0,0,0,0,1
Attempted Deliv Control Subst,0,0,0,0,0,0,0,1
Attempted Robbery  No Weapon,5,0,0,0,0,0,0,1
Attempted Robbery  Weapon,5,0,1,0,0,0,0,1
Attempted Robbery Firearm,5,0,1,0,0,0,0,1
Batt/on a Specified Employee,4,0,0,0,0,0,0,0
Battery,4,0,0,0,0,0,0,0
Battery Emergency Care Provide,4,0,0,0,0,0,0,0
Battery On A Person Over 65,4,0,0,0,0,0,0,0
Battery On Fire Fighter,4,0,0,0,0,0,0,0
Battery On Parking Enfor Speci,4,0,0,0,0,0,0,0
Battery Spouse Or Girlfriend,4,0,0,0,0,0,0,0
Battery on Law Enforc Officer,4,0,0,0,0,0,0,0
Battery on a Person Over 65,4,0,0,0,0,0,0,0
Bribery Athletic Contests,0,0,0,0,0,0,1,1
Burgl Dwel/Struct/Convey Armed,3,0,0,0,0,0,0,1
Burglary Assault/Battery Armed,3,0,1,0,0,0,0,1
Burglary Conveyance Armed,3,0,1,0,0,0,0,1
Burglary Conveyance Assault/Bat,3,0,1,0,0,0,0,1
Burglary Conveyance Occupied,3,0,0,0,0,0,0,1
Burglary Conveyance Unoccup,3,0,0,0,0,0,0,1
Burglary Damage Property>$1000,3,0,0,0,0,0,0,1
Burglary Dwelling Armed,3,0,1,0,0,0,0,1
Burglary Dwelling Assault/Batt,3,0,0,0,0,0,0,1
Burglary Dwelling Occupied,3,0,0,0,0,0,0,1
Burglary Structure Armed,3,0,1,0,0,0,0,1
Burglary Structure Assault/Batt,3,0,0,0,0,0,0,1
Burglary Structure Occupied,3,0,0,0,0,0,0,1
Burglary Structure Unoccup,3,0,0,0,0,0,0,1
Burglary Unoccupied Dwelling,3,0,0,0,0,0,0,1
Burglary With Assault/battery,3,0,0,0,0,0,0,1
Carjacking w/o Deadly Weapon,3,0,0,0,0,0,0,1
Carjacking with a Firearm,3,0,1,0,0,0,0,1
Carry Open/Uncov Bev In Pub,0,0,0,0,0,0,0,1
Carrying A Concealed Weapon,0,0,1,0,0,0,0,1
Carrying Concealed Firearm,0,0,1,0,0,0,0,1
Cash Item w/Intent to Defraud,0,0,0,0,0,0,1,1
Cause Anoth Phone Ring Repeat,0,0,0,0,0,0,0,1
Child Abuse,6,0,0,1,0,0,0,1
Computer Pornography,0,0,0,0,0,1,0,1
Consp Traff Oxycodone  4g><14g,0,2,0,0,0,0,0,0
Consp to Traffic Methamphetamine,0,2,0,0,0,0,0,0
Conspiracy Dealing Stolen Prop,0,0,0,0,0,0,0,1
Consume Alcoholic Bev Pub,0,1,0,0,0,0,0,1
Contradict Statement,0,0,0,0,0,0,0,1
Contribute Delinquency Of A Minor,0,0,0,1,0,0,0,1
Corrupt Public Servant,0,0,0,0,0,0,0,1
Counterfeit Lic Plates/Sticker,0,0,0,0,0,0,1,1
